datetime,throttle
2023-08-13 14:14:34.3,100
2023-08-13 14:14:34.3,100
2023-08-13 14:14:34.4,100
2023-08-13 14:14:34.5,100
2023-08-13 14:14:34.5,100
2023-08-13 14:14:34.6,100
2023-08-13 14:14:34.7,100
2023-08-13 14:14:34.8,100
2023-08-13 14:14:34.8,100
2023-08-13 14:14:34.9,100
2023-08-13 14:14:35.0,100
2023-08-13 14:14:35.0,100
2023-08-13 14:14:35.1,100
2023-08-13 14:14:35.2,100
2023-08-13 14:14:35.2,100
2023-08-13 14:14:35.3,100
2023-08-13 14:14:35.4,100
2023-08-13 14:14:35.4,100
2023-08-13 14:14:35.5,100
2023-08-13 14:14:35.6,100
2023-08-13 14:14:35.7,100
2023-08-13 14:14:35.7,100
2023-08-13 14:14:35.8,100
2023-08-13 14:14:35.9,100
2023-08-13 14:14:35.9,100
2023-08-13 14:14:36.0,100
2023-08-13 14:14:36.1,100
2023-08-13 14:14:36.1,100
2023-08-13 14:14:36.2,100
2023-08-13 14:14:36.3,100
2023-08-13 14:14:36.3,100
2023-08-13 14:14:36.4,100
2023-08-13 14:14:36.5,100
2023-08-13 14:14:36.6,100
2023-08-13 14:14:36.6,100
2023-08-13 14:14:36.7,100
2023-08-13 14:14:36.8,100
2023-08-13 14:14:36.8,100
2023-08-13 14:14:36.9,100
2023-08-13 14:14:37.0,100
2023-08-13 14:14:37.0,100
2023-08-13 14:14:37.1,100
2023-08-13 14:14:37.2,100
2023-08-13 14:14:37.2,100
2023-08-13 14:14:37.3,100
2023-08-13 14:14:37.4,100
2023-08-13 14:14:37.4,100
2023-08-13 14:14:37.5,100
2023-08-13 14:14:37.6,90
2023-08-13 14:14:37.8,80
2023-08-13 14:14:38.1,90
2023-08-13 14:14:38.4,80
2023-08-13 14:14:38.7,70
2023-08-13 14:14:38.9,80
2023-08-13 14:14:39.2,70
2023-08-13 14:14:39.5,60
2023-08-13 14:14:39.8,50
2023-08-13 14:14:40.0,60
2023-08-13 14:14:40.3,50
2023-08-13 14:14:40.6,40
2023-08-13 14:14:40.8,30
2023-08-13 14:14:41.1,20
2023-08-13 14:14:41.4,30
2023-08-13 14:14:41.7,20
2023-08-13 14:14:41.9,10
2023-08-13 14:14:42.2,0
2023-08-13 14:14:42.5,-10
2023-08-13 14:14:42.7,-20
2023-08-13 14:14:43.0,-30
2023-08-13 14:14:43.3,-40
2023-08-13 14:14:43.5,-50
2023-08-13 14:14:43.8,-60
2023-08-13 14:14:44.1,-70
2023-08-13 14:14:44.4,-60
2023-08-13 14:14:44.6,-50
2023-08-13 14:14:44.9,-40
2023-08-13 14:14:45.2,-30
2023-08-13 14:14:45.5,-20
2023-08-13 14:14:45.7,-10
2023-08-13 14:14:46.0,0
2023-08-13 14:14:46.3,10
2023-08-13 14:14:46.5,20
2023-08-13 14:14:46.8,30
2023-08-13 14:14:47.1,40
2023-08-13 14:14:47.4,50
2023-08-13 14:14:47.6,60
2023-08-13 14:14:47.9,70
2023-08-13 14:14:48.2,80
2023-08-13 14:14:48.5,90
2023-08-13 14:14:48.7,100
2023-08-13 14:14:49.0,100
2023-08-13 14:14:49.1,100
2023-08-13 14:14:49.1,100
2023-08-13 14:14:49.2,100
2023-08-13 14:14:49.3,100
2023-08-13 14:14:49.4,100
2023-08-13 14:14:49.4,100
2023-08-13 14:14:49.5,100
2023-08-13 14:14:49.6,100
2023-08-13 14:14:49.6,100
2023-08-13 14:14:49.7,100
2023-08-13 14:14:49.8,100
2023-08-13 14:14:49.8,100
2023-08-13 14:14:49.9,100
2023-08-13 14:14:50.0,100
2023-08-13 14:14:50.1,100
2023-08-13 14:14:50.1,100
2023-08-13 14:14:50.2,100
2023-08-13 14:14:50.3,100
2023-08-13 14:14:50.3,100
2023-08-13 14:14:50.4,100
2023-08-13 14:14:50.5,100
2023-08-13 14:14:50.5,100
2023-08-13 14:14:50.6,100
2023-08-13 14:14:50.7,100
2023-08-13 14:14:50.7,100
2023-08-13 14:14:50.8,100
2023-08-13 14:14:50.9,100
2023-08-13 14:14:50.9,100
2023-08-13 14:14:51.0,100
2023-08-13 14:14:51.1,100
2023-08-13 14:14:51.1,100
2023-08-13 14:14:51.2,100
2023-08-13 14:14:51.3,100
2023-08-13 14:14:51.4,100
2023-08-13 14:14:51.4,100
2023-08-13 14:14:51.5,100
2023-08-13 14:14:51.6,100
2023-08-13 14:14:51.6,100
2023-08-13 14:14:51.7,100
2023-08-13 14:14:51.8,100
2023-08-13 14:14:51.8,100
2023-08-13 14:14:51.9,100
2023-08-13 14:14:52.0,100
2023-08-13 14:14:52.1,100
2023-08-13 14:14:52.1,100
2023-08-13 14:14:52.2,100
2023-08-13 14:14:52.3,100
2023-08-13 14:14:52.3,100
2023-08-13 14:14:52.4,100
2023-08-13 14:14:52.5,100
2023-08-13 14:14:52.5,100
2023-08-13 14:14:52.6,100
2023-08-13 14:14:52.7,100
2023-08-13 14:14:52.8,100
2023-08-13 14:14:52.8,100
2023-08-13 14:14:52.9,100
2023-08-13 14:14:53.0,100
2023-08-13 14:14:53.0,100
2023-08-13 14:14:53.1,100
2023-08-13 14:14:53.2,100
2023-08-13 14:14:53.2,100
2023-08-13 14:14:53.3,100
2023-08-13 14:14:53.4,100
2023-08-13 14:14:53.4,100
2023-08-13 14:14:53.5,100
2023-08-13 14:14:53.6,100
2023-08-13 14:14:53.7,100
2023-08-13 14:14:53.7,100
2023-08-13 14:14:53.8,100
2023-08-13 14:14:53.9,100
2023-08-13 14:14:53.9,100
2023-08-13 14:14:54.0,100
2023-08-13 14:14:54.1,100
2023-08-13 14:14:54.1,100
2023-08-13 14:14:54.2,100
2023-08-13 14:14:54.3,100
